T07,"Teaching staff at the primary, secondary and tertiary levels",,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
202,Sub-Saharan Africa,2015,Teachers at primary level (thousands),4070.1942,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
202,Sub-Saharan Africa,2015,Pupil-teacher ratio in primary education,38.5041,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
202,Sub-Saharan Africa,2015,Teachers at secondary level (thousands),2668.7223,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
202,Sub-Saharan Africa,2015,Pupil-teacher ratio in secondary education,21.3136,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
202,Sub-Saharan Africa,2015,Teachers at tertiary level (thousands),347.8077,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
202,Sub-Saharan Africa,2016,Teachers at primary level (thousands),4167.1286,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
202,Sub-Saharan Africa,2016,Pupil-teacher ratio in primary education,38.5167,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
202,Sub-Saharan Africa,2016,Teachers at secondary level (thousands),2636.8618,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
202,Sub-Saharan Africa,2016,Pupil-teacher ratio in secondary education,21.8634,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
202,Sub-Saharan Africa,2016,Teachers at tertiary level (thousands),362.9451,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2020."
